Preferred_Contact_Method,Product_Category_Preferences
SMS,"set, rule, respond, best"
Phone,"social, language"
SMS,"individual, write, never"
SMS,"upon, win, sure, light, will"
Phone,"director, leave"
SMS,role
SMS,"enjoy, machine, part, process, day"
Email,"size, most"
Phone,"significant, share"
SMS,could
Phone,"how, cup, factor"
SMS,operation
Phone,"few, social, popular, artist, new"
Phone,"eye, group, happy"
Phone,"available, response, maybe, half"
Phone,"news, what, but, property"
Email,"heavy, write, when, thus"
Email,"who, perhaps, window"
Phone,"toward, both, field"
SMS,"cover, be, reality"
SMS,"against, walk"
Email,"hope, build, garden, whose, east"
Phone,"summer, TV, together"
Email,develop
Email,down
SMS,"other, factor, responsibility, painting, into"
Phone,"any, tend, suffer"
SMS,respond
Phone,"kid, onto"
Email,cut
Email,"out, more"
SMS,"only, miss"
SMS,"oil, analysis, better, chance"
Phone,"sing, wide, under, weight"
Email,"man, number, morning, per"
Phone,"rate, wind"
SMS,"television, thus, ahead"
SMS,"themselves, able"
Phone,"energy, decide"
Email,"he, result, everybody, start"
Phone,tend
Phone,"hope, miss"
Email,"space, maintain, audience, minute"
Email,"total, run, picture, one"
Email,"bag, really, against, four, research"
Phone,"trial, degree"
SMS,"investment, three, create, camera, pay"
Phone,"part, environmental"
Phone,back
SMS,"institution, serious, thank"
Email,"fall, control, environment, four"
Email,morning
Email,require
Phone,"outside, together, sign, never, only"
Phone,"dark, design, end"
Phone,"machine, military"
Email,"beyond, mother, something, important"
Phone,"series, recent, write, everything, southern"
Phone,"manage, traditional, Mr"
Email,"blue, fight, tree, about"
Email,"especially, leader"
SMS,"research, former, challenge"
Phone,"something, more, test, region"
SMS,think
Phone,"worry, science, and"
Email,"fall, ago, trouble, hold, step"
Phone,"toward, unit, end"
Email,"high, nation"
Phone,"board, share, thought, those, experience"
Phone,"month, weight"
SMS,"trip, company, figure, society"
SMS,"pull, relate, summer, chair"
Phone,"our, carry, since"
Email,"true, themselves, material, think, parent"
Phone,"add, away"
SMS,"eat, national, some"
Phone,can
Phone,"first, pay"
SMS,"man, until, serve, must, mouth"
Email,"ago, federal, line"
Email,"author, fire"
Email,"board, ago"
Phone,every
Phone,"employee, item, plan, certain"
Email,place
SMS,"offer, audience, college, just"
Email,"owner, six, college"
Phone,"point, impact, however, compare"
Phone,level
SMS,"green, scene, official, whether, week"
Phone,newspaper
Email,"wife, alone, sense"
Phone,"rate, hear, quite, candidate"
Phone,"theory, week, total, question, instead"
Phone,"along, stock, your, something, against"
Email,black
Email,"out, more, high, keep"
SMS,"positive, finally"
Email,"several, poor, economic, similar, ready"
Email,military
Email,song
SMS,"face, throughout, rock, night"
SMS,"charge, fall, sign, whether, myself"
Phone,to
Email,"sport, high"
Email,"million, somebody, country, through, participant"
Email,"ask, form"
Phone,build
SMS,"peace, act, food, several, animal"
Email,"clearly, situation, lawyer"
Email,name
SMS,"laugh, without, along, or"
Phone,relationship
Email,"development, current, there, task, occur"
Phone,"rich, growth, office, front"
Email,"stuff, soldier, few"
Phone,"red, firm, rise, order"
SMS,"report, born, better, art, as"
SMS,"likely, place, call, pull, produce"
Email,"use, whom"
Email,"course, down"
SMS,"impact, Democrat, figure, deal"
SMS,"hit, rise, car, usually"
SMS,"important, letter"
Email,"candidate, water"
Email,"cup, live"
Phone,"we, executive, sound"
Phone,"draw, goal, decade"
SMS,"wide, mention"
Phone,"first, worker, get, career"
Email,"move, radio, street, each, bill"
SMS,"crime, police, single, call"
Email,"which, society, may, television"
Email,"woman, truth, thousand, always, foot"
Phone,move
Email,brother
SMS,"office, yes, author, certain, service"
Phone,"usually, black"
Phone,"space, shake"
Phone,"apply, pull, product, future, day"
Phone,"phone, glass"
Phone,"relate, stock, data, government"
Email,"analysis, nature, use"
Email,"store, create, service, upon"
Email,government
Phone,"human, condition, western, cold"
Email,"deal, popular"
Phone,"throughout, prove, leave, child"
SMS,"improve, for, partner, avoid, bed"
Email,vote
SMS,"participant, they, administration, box"
SMS,"process, necessary, song, represent"
Email,"man, even, military, generation, TV"
Phone,"chance, them"
SMS,single
Phone,"up, stand"
Phone,"speak, reason, state, meet"
Phone,"budget, trip"
SMS,"include, action"
Email,"knowledge, eye, consider, often, hold"
Email,"recent, attack, value, involve, natural"
Email,"free, party"
Phone,"point, garden, major, hour"
SMS,"car, class, charge, pull, today"
SMS,"daughter, large, executive, together"
Email,TV
Email,"executive, just"
Email,"new, talk"
Phone,"sing, our, likely"
Email,"popular, money, student"
Email,"hospital, against, care"
Phone,car
Phone,"early, my, similar"
Email,trouble
SMS,"television, result, religious, reflect"
Phone,"guess, something, worker, themselves, buy"
SMS,"wall, dark, image, increase"
Email,"walk, gas"
Email,"record, traditional, approach"
Email,"feeling, she"
Email,"she, away, soon, heavy"
Phone,PM
Email,someone
Phone,"large, road, which, space, type"
SMS,"together, imagine"
Email,"near, growth, kitchen, office"
Email,"meeting, require"
SMS,"pretty, score, nothing, lay, identify"
SMS,share
Email,"series, traditional, agree"
Phone,"fall, company, amount, style, physical"
Phone,"produce, four, people, scene"
Email,"anyone, page, name, this, star"
Email,"according, everyone"
Phone,"system, on, push, take"
SMS,"add, appear"
SMS,"political, teach, everything, drug"
SMS,least
Phone,"peace, again"
Phone,"up, miss"
Phone,"resource, court, science, region"
Phone,as
Phone,"clearly, hotel"
SMS,"conference, together, produce"
SMS,at
Email,investment
Phone,determine
Phone,"start, bank, enjoy"
Phone,"off, he"
Email,wear
SMS,"radio, bit"
SMS,"see, race, year, floor, look"
SMS,"plant, per, much, forward"
Phone,"partner, news, one"
Email,form
Phone,"group, gas, down, career, compare"
Email,"position, eat"
Email,"north, kind, still"
Phone,"much, play, nearly"
Phone,"cold, room, experience, hot, discover"
Phone,them
Phone,"never, knowledge, spring, factor, job"
SMS,sometimes
SMS,"gas, everybody, budget"
Phone,"truth, social, check"
Email,"leg, really, treatment, sign, argue"
Email,itself
SMS,"prepare, option, one, think, same"
SMS,"federal, together"
Email,"difficult, carry"
Phone,"around, expect, suffer, response"
Phone,I
Phone,wife
Phone,"field, which, executive"
Phone,"off, style, family"
Phone,"data, southern, hair"
Email,"population, before, like"
Email,"force, prevent, degree, without"
SMS,"describe, door, box, car"
SMS,just
Email,"couple, garden, step, area"
SMS,"each, process"
Phone,"still, hand, official, political, role"
Phone,"dog, decade, again, me, performance"
Phone,"several, next, maybe, without, buy"
Phone,"suggest, example"
SMS,"central, trial, system, gas"
SMS,today
SMS,lawyer
Email,"field, walk, close, build"
Email,"song, draw, house"
SMS,"month, industry, instead"
Phone,forward
SMS,how
Email,parent
Email,"participant, trial, front"
Email,"hope, cause, whatever, continue"
SMS,"job, crime"
SMS,read
SMS,"year, near, while, single, person"
Phone,"happen, already, fear"
Phone,"own, even"
Email,inside
Email,baby
SMS,"without, same"
Phone,"actually, world, physical, exist"
SMS,"account, civil, level"
SMS,"half, leg, firm, even"
SMS,"trade, rock, Republican, care, answer"
SMS,"political, quickly, subject, mean, course"
Email,"commercial, job, not"
Email,"push, appear, seek"
Phone,"there, method"
Phone,"grow, add"
SMS,"community, window, from, idea"
Email,"break, color, group"
Phone,"activity, per, assume"
SMS,"boy, section"
Phone,"behavior, one, protect"
Email,a
Email,"everyone, everyone, mind"
SMS,"example, member"
Email,"hot, item, heavy, chair, rich"
Phone,"north, stop"
Phone,"similar, organization, reason, ten"
SMS,"billion, TV, memory, event"
Phone,"source, step"
SMS,"nation, sell, growth, marriage"
Phone,"go, four"
Email,"compare, building, keep, process, work"
SMS,"cause, product"
Email,around
Phone,"plant, early, board, mean, maintain"
Email,"stage, take, clear"
Phone,"successful, from, whether, growth, total"
Email,"amount, body, soon"
Email,"leader, author"
Phone,"grow, direction, themselves, blue, population"
SMS,"join, happy"
Email,everybody
Email,"involve, hand"
SMS,"third, early, same"
Phone,"history, kitchen, stock"
SMS,"pull, production"
Email,"commercial, defense, less, avoid, right"
SMS,"wind, leave, view"
Email,"special, professional, size"
Phone,need
Email,establish
Email,"skin, without, back"
Phone,"early, future, message"
Email,term
Email,"minute, generation, within"
Email,"understand, its, fly, heart"
Phone,"able, treat, power, make, we"
Phone,"run, building, agent"
Phone,"family, decide, but, tonight"
SMS,"imagine, president, in, a, could"
SMS,"today, huge, Republican"
SMS,"significant, perhaps, democratic, table, because"
Phone,"own, benefit, conference, economy, open"
SMS,"ever, detail"
Email,"mother, language, see, face, take"
SMS,human
SMS,"town, energy, Republican"
SMS,"range, middle, respond, herself, their"
SMS,"several, six, control"
Phone,"energy, amount, artist, performance, goal"
Email,"agree, region, understand"
Phone,some
Email,"official, name, it, radio, executive"
Phone,"me, country, learn, form"
Phone,"whom, according, leader"
Email,"end, camera, himself, detail, production"
Email,"go, suggest, help, item, decide"
Phone,"pay, direction"
SMS,artist
Phone,"rate, road"
SMS,important
Phone,"collection, manager, agency, notice"
Phone,"indicate, present, pay, night, relationship"
Phone,"lawyer, memory, rock"
Email,"president, win, show, north"
Phone,"hit, too"
Phone,south
Email,"executive, seat, consumer, above"
Email,"friend, serious, worry, particular, investment"
Phone,where
SMS,"plan, billion, long, human"
Email,"drug, well"
SMS,"course, table"
Email,"just, gas, buy"
Phone,"process, fire"
SMS,"himself, after, professor, red, me"
Phone,create
Email,"two, discover, money"
SMS,"heavy, usually, order"
SMS,blue
SMS,"various, population, six"
SMS,"three, heart, hit, authority"
Email,"however, box, machine, do, thus"
Email,"foreign, campaign, according"
Email,"believe, prevent"
SMS,"miss, get, market"
Email,"record, appear, while, contain"
SMS,"rather, sister, order, son"
Email,"give, low"
Phone,"operation, market, him"
SMS,"watch, reflect, choice"
Phone,"them, also"
Email,"candidate, west, first"
Email,perform
Phone,"politics, its, hope, friend"
Email,century
Phone,sign
Email,"human, especially, cover, force"
Phone,"them, major"
SMS,"him, general, professional, part"
SMS,"budget, lay, remember, chair, bank"
Phone,"box, PM, shoulder, employee"
SMS,"simply, least, until, government"
SMS,"edge, room, your"
Phone,"own, sport"
Phone,"hard, plant, wife, loss"
Phone,"alone, wish, nothing"
Phone,"produce, yard"
SMS,"or, allow, not, public"
Phone,wall
Phone,"morning, personal, follow"
Email,challenge
SMS,"pressure, environmental"
Phone,"decide, wife, scene, full, line"
Phone,"chance, walk, real, first"
SMS,"view, fear, business"
Email,century
Phone,represent
Email,"project, hundred, reveal, join"
SMS,"weight, example"
SMS,"through, bag, cause, tonight, door"
SMS,ten
SMS,"guy, us, among"
SMS,"fear, mean, relationship, investment, claim"
Email,"safe, believe, realize, everything, land"
Email,"order, never, democratic"
SMS,"simply, picture, effort, already, hot"
SMS,within
Email,"generation, ready"
SMS,"cost, I"
Phone,"law, a, environment, sort"
SMS,"grow, indicate"
SMS,"argue, true, view, involve, high"
SMS,"attorney, current"
SMS,"along, enjoy, million, use"
Phone,"under, tough, top"
SMS,"collection, car, century, impact, site"
Email,"pretty, professional, wrong"
Email,"head, month, because"
Email,"kind, play, foot, child, take"
Phone,"stay, particular, to, player"
SMS,"require, run"
Phone,"test, check, partner"
SMS,"play, bar, total, bad"
Email,soon
Email,"three, traditional, continue, area"
SMS,"strategy, soldier"
SMS,"result, create, recent, rate"
SMS,"but, feel, national"
SMS,"despite, high, he, list, enough"
SMS,"feeling, land, range, under, form"
Email,"yet, almost, town, federal, meeting"
Phone,"stand, person, throw, fall, discover"
SMS,cultural
Phone,"until, require, girl"
SMS,"try, meet"
SMS,"deep, middle"
SMS,"hair, those, administration"
Email,"treatment, style, with, structure"
SMS,"expert, bad, difference"
SMS,"adult, drug, sometimes"
SMS,"for, cup, score"
Phone,"man, great, scene"
Phone,"now, blood"
SMS,"political, space"
Email,"Mr, discover, field, people"
Email,"international, performance"
Email,"significant, show, evidence"
Email,"debate, else, growth, region"
Phone,"research, base, possible"
SMS,"school, different, kid"
SMS,score
SMS,between
Phone,"buy, choice, until"
Phone,"model, rather, ago, manage"
SMS,"interesting, relationship, produce"
SMS,"dinner, recent, source, history"
SMS,"why, career, most, return"
SMS,"account, establish, physical, learn"
Phone,"her, action, important"
Phone,allow
Email,"consumer, property, third"
Phone,"hair, mission"
Email,"lead, chair, almost"
Phone,"cost, quickly, certainly, specific"
Phone,"cut, challenge"
Phone,our
Email,"democratic, billion, official"
Email,"yeah, become, street, another"
Email,"power, nature"
SMS,yard
SMS,"citizen, save, drive, around"
Phone,"thought, would"
Phone,"popular, movie, sure"
Email,media
SMS,"that, keep"
Phone,"possible, perform, film"
Email,receive
SMS,"move, blue"
Phone,"drug, billion, understand"
Phone,"suddenly, remain, hope, wide"
SMS,"over, almost"
Phone,"modern, job"
Phone,"represent, fast, born, despite, pass"
SMS,"who, job"
SMS,again
Phone,"together, later, least"
Phone,"control, central, scene, practice, me"
Email,best
Phone,"effect, nature, so, side"
Email,table
Email,forget
Phone,"drug, president, including"
Email,writer
SMS,"through, rate"
Email,"machine, join, green, let"
Phone,"federal, understand, good"
Email,cut
Email,"policy, seat"
Email,exist
SMS,"low, film, provide, team, enter"
Email,"know, relationship, score"
SMS,"adult, learn, receive"
SMS,"piece, answer"
Email,"campaign, grow, history, poor"
Phone,book
Email,"truth, black, past, evening, arrive"
SMS,"determine, respond"
SMS,"mean, likely, let, check, above"
Email,"sit, break, magazine"
Email,help
Phone,"store, get"
Email,"anything, agreement, never, something, modern"
Email,rather
Email,"light, wrong"
SMS,"glass, piece, important, early, figure"
Phone,throughout
Email,"method, especially, store, speech, present"
Email,"write, call, name, rest"
SMS,"week, test, wall, only, later"
Phone,him
SMS,"available, power, charge"
SMS,out
Phone,"me, garden, prove"
Phone,"affect, author, include"
SMS,"spring, manager, several, shake"
SMS,"ability, fall"
SMS,"sure, mention, religious, fact"
Phone,"future, knowledge, clear"
SMS,body
Phone,"throw, western"
SMS,"ground, mother"
SMS,"behind, better"
Phone,human
Email,"specific, voice"
Email,"station, receive, officer, even"
SMS,decide
SMS,"sister, former, us, enough, sign"
Email,"deep, them"
Email,"parent, however, book"
Email,it
SMS,"break, support"
Email,"whatever, assume, standard, learn"
Email,"successful, music, require"
SMS,"large, might, event, out, bit"
Email,"region, air, financial, explain, off"
Email,"past, not, every, represent"
Email,offer
Email,simply
Phone,"matter, run, education, yourself, far"
Phone,"down, building, image, program, member"
SMS,"here, stuff, main, sport, structure"
Email,"somebody, such, major, admit"
SMS,"great, state"
Phone,main
SMS,"or, want, green, two"
Phone,discover
Phone,"either, fund, house, age"
SMS,"perhaps, thought, some, write, according"
Email,"southern, save"
SMS,"entire, leave, together, president"
Phone,"land, week, ever, soldier, finally"
Phone,"cover, describe, large"
Email,"improve, room"
Phone,"interview, fact, score, everyone"
Phone,"green, eat, approach, still"
Email,if
Phone,"remember, home, task, process"
Email,"tough, their, state"
Email,everyone
Email,"our, table, today, development, party"
Email,"down, site, federal, customer"
Email,"themselves, edge, why"
SMS,"garden, store"
Email,guess
Phone,"past, way"
SMS,"set, cultural, main, animal, hard"
SMS,"certainly, bring, tax, social"
Phone,"institution, buy"
Email,"his, drive, member, deal, technology"
Email,investment
SMS,"career, positive, radio, during, politics"
SMS,"discover, fund, ok"
SMS,"add, participant, course"
Phone,"future, then, tough, change"
Email,"task, production, century, current, control"
Phone,"town, thus, watch, billion, particularly"
SMS,"building, understand, citizen"
Phone,"wish, down, yard, various"
Phone,"inside, but, item, series, daughter"
Email,"quality, new"
Phone,live
SMS,financial
SMS,"statement, camera, population, exist"
SMS,"our, help, system, world"
Phone,"health, her, return, culture"
Phone,whole
SMS,"once, sing"
SMS,"want, day, including, give"
Phone,"happen, one, south, responsibility"
Phone,"plan, any, fund, share"
SMS,"black, wait, modern, price, hand"
SMS,interview
SMS,"guy, establish, I, around, with"
SMS,"again, player"
Phone,"live, among"
Email,"among, maybe, eat, away, student"
Email,"chair, professor, traditional, gun, our"
SMS,staff
Phone,best
Email,during
Phone,"successful, six"
Phone,"common, successful, whole"
SMS,"rock, so, apply, child, exactly"
SMS,"air, security, experience, build"
Email,visit
Email,thus
SMS,"answer, focus"
Email,"significant, with, fear, piece"
SMS,"office, leader, debate"
Phone,"student, fear, interview, live, customer"
Email,"ground, month"
Phone,"news, interesting, listen"
Email,"town, choice, small, edge, political"
Phone,"director, someone, story, return, wife"
Email,"much, machine, animal, occur"
Phone,"quite, concern, skill, office, party"
Email,from
Phone,"him, always, house, college"
Email,"experience, career"
SMS,with
SMS,draw
SMS,"avoid, above, individual"
SMS,"identify, any, clearly, popular"
Email,"keep, boy, picture, environmental, own"
Phone,"none, mouth"
Email,power
Email,"show, apply, already"
Phone,"choose, carry, main, need, meeting"
Email,"less, same, meet, bring, look"
Email,"bar, over, quickly, head, seek"
SMS,"mention, be, there, year, carry"
Email,"know, throw, sell, war, allow"
Phone,"role, near, yet, position, really"
Phone,"or, record"
Email,"ability, purpose, life"
Phone,"magazine, try, also, wait"
SMS,"type, whether"
SMS,"dark, cover, significant"
SMS,"prove, imagine, raise, early"
SMS,"effort, travel, word, goal, anything"
SMS,activity
Phone,"power, five, close"
Phone,"item, however, state, put"
Phone,"exist, music, production, American, pass"
SMS,"voice, young, last"
Email,"adult, teach"
Email,"seat, environmental, sister, picture"
Email,"then, environmental, type"
Phone,property
SMS,"moment, local, sure, future, analysis"
SMS,"election, health, central"
Phone,know
SMS,"course, around, Democrat, series, firm"
Phone,"voice, nice, whole, every"
Phone,"form, style, write"
Email,"response, generation, lose"
Phone,"hand, officer, bar, must, war"
SMS,"lawyer, type, magazine"
Phone,"both, manage, score"
Email,"share, husband, season"
SMS,"church, certain"
SMS,"accept, interview, discover, law"
SMS,"old, operation"
SMS,"once, including"
Phone,effort
Phone,rock
SMS,significant
SMS,"season, tell, from"
Email,"control, change, rich, early, they"
SMS,"soon, within, anyone, certainly"
Phone,"wind, physical"
Phone,"along, smile, memory"
Email,"tax, anything, thought, plan, way"
Email,"spend, lay, hair, few"
Phone,"difficult, mind, black, join"
SMS,"list, son, anything, part"
SMS,"dinner, beautiful, large"
Email,report
Phone,"check, rate, participant"
Email,"treatment, story, measure, middle"
SMS,"partner, easy, rich"
Phone,"these, ball, recently, often"
Email,"new, part, painting"
Phone,instead
Phone,"nothing, those, decision, building"
Email,"thought, in, game, anyone, parent"
SMS,indeed
Phone,respond
Email,"personal, peace, time"
Phone,"some, share, imagine, central"
Email,"ask, Republican, performance, focus, music"
Email,"glass, style, his, employee, ten"
SMS,"race, ever"
SMS,must
SMS,goal
SMS,"try, represent, bar"
Phone,"politics, material, edge, first, other"
Phone,"on, friend, six"
Phone,"speak, nothing, shake, company, career"
Phone,"mention, mouth, team"
SMS,"start, chance, century, leave"
SMS,"eye, different, tend, page"
Email,"traditional, country"
SMS,your
SMS,"mother, program, unit, system"
Phone,"popular, reduce, skin, decide"
Email,"including, new, particularly"
SMS,"side, assume, executive, officer"
Phone,"such, institution, sign"
SMS,"early, sing"
Phone,test
Email,"successful, heart, friend"
Phone,"entire, best, personal, nothing"
SMS,"especially, interest, environment, spend, several"
SMS,"student, water, lose"
Email,"special, short, sure"
Phone,"artist, long, fire, after"
Email,"shoulder, soon"
Phone,color
Email,"vote, military"
Email,"cold, few, knowledge"
SMS,through
Email,"who, avoid"
Email,"may, end, prepare, Democrat"
Phone,"catch, sing"
Phone,American
SMS,"where, surface"
Email,"discover, ability, film"
SMS,"present, nothing"
SMS,"save, medical, war, degree, sport"
Phone,"model, open"
Email,"finish, city, onto, child"
Phone,"past, condition, turn, successful, area"
SMS,"his, campaign, discussion"
SMS,"town, situation, on"
Email,sea
Phone,free
Phone,"he, course"
Phone,beyond
Phone,"wife, however, walk, occur, church"
SMS,computer
SMS,"range, use"
Email,energy
Phone,"language, sense, good, discussion, treatment"
Phone,"west, production, least"
Phone,"hotel, city, soon, you, class"
Email,"military, can, water"
SMS,"help, himself, when, dinner, against"
Phone,"part, nice, few"
SMS,"school, upon, half, population"
SMS,development
SMS,"these, open, where, outside"
Email,"ready, book, turn, everything, full"
Email,"our, popular, people, run"
SMS,"on, statement"
Email,"economy, evidence, senior, share"
SMS,"skill, anything, part, local"
Phone,"hear, fly"
SMS,head
Phone,"generation, especially"
Phone,"leave, billion, seat"
SMS,"several, behavior, without"
SMS,"nothing, discussion, until, born, pass"
Email,"chair, involve, at"
SMS,"right, computer, phone, talk"
Phone,"yard, expect, process"
SMS,well
Phone,sport
Email,"building, work, one, player, writer"
Email,"nice, stop, far, young, early"
Phone,"myself, leg"
SMS,"music, there, north, grow"
Email,"exactly, under"
Email,"here, give, clear"
SMS,"police, address, stuff, often, pass"
SMS,rise
Phone,someone
Email,"few, woman, two, church"
Phone,"how, Democrat"
Phone,"with, mention"
Phone,"use, happy, person, three"
SMS,charge
Phone,"eight, third, two"
Email,"help, why"
SMS,"player, ground, method"
SMS,"song, by, truth, perform"
SMS,"idea, why, several, stand, recently"
Email,"direction, describe, gas"
Phone,"will, west"
Email,"point, consider, training"
Email,health
SMS,"matter, nearly, place, including"
Email,"low, suffer, generation, draw"
Email,"sport, almost, remain, note"
Phone,"man, response, meeting"
Phone,"agree, treatment, bank, charge"
SMS,"set, score, firm, poor"
Phone,"act, yet, people"
Email,"energy, know, wind, side"
Email,"fire, drug, administration, imagine, prevent"
Phone,"describe, appear"
Email,"whether, personal, artist, consumer"
Email,"interesting, month, name, kid, full"
Email,"himself, order, room, maybe, cause"
Phone,"nearly, camera, area"
SMS,"voice, high, economy, affect, add"
SMS,"detail, toward, now, human, south"
Phone,"mission, owner"
SMS,"else, reality, little, agent"
Email,"fast, better, statement, authority, both"
SMS,"people, stage, short"
Phone,"away, tonight, race, could"
Phone,"employee, into, goal, training"
Phone,"mind, point, interview, career, office"
SMS,"usually, require, with"
Phone,"market, measure, fill"
Email,"action, street, mean, low, pattern"
Phone,citizen
Email,"key, realize, not, show"
Phone,"history, difficult"
SMS,"fight, pressure, idea"
Phone,"far, line, build, skin, sell"
Phone,"reach, huge"
Email,"what, real, employee, director, enter"
Email,"you, indeed"
Email,"deal, soon, stop, team"
Email,"recently, space, develop, state"
Email,personal
SMS,"miss, at, real, song"
Phone,"run, class"
Phone,"single, it, offer, mention, of"
Phone,"per, sing, method, wall, finish"
Email,"either, join, modern"
Phone,out
Email,matter
Phone,need
Phone,"group, plan"
Phone,"movie, morning, ever"
SMS,"factor, strong, over, training, little"
SMS,"him, room, black, good"
Phone,"law, country, card, health"
Phone,"there, economy, thus"
Email,"level, against, certainly"
Email,"father, season, single"
Phone,"lay, understand, open, campaign, whatever"
Email,"realize, always, easy, wind"
Email,"scientist, she, particularly"
Email,"boy, street, tree"
Phone,happy
SMS,"should, open"
Email,"reflect, understand, factor"
Phone,"tax, pass, can, article"
Email,"ask, than, peace"
Email,"project, Congress, mind, identify"
Phone,"same, market"
SMS,"land, company"
SMS,"range, raise, lawyer"
Phone,"life, husband, result, to, should"
SMS,page
Phone,class
SMS,"end, program"
Email,"road, including"
Phone,director
Email,"fire, change, onto, personal, only"
SMS,"painting, well"
Phone,"network, piece, walk, customer"
Email,apply
SMS,strategy
Phone,new
Phone,"simple, vote, occur"
SMS,"score, product, police, son, discuss"
Email,"direction, yeah, put"
Phone,"difference, foreign, if"
Email,"huge, sometimes, red, third, central"
SMS,"threat, environmental"
Phone,organization
Phone,"week, cell"
Phone,then
Phone,"course, drug, throw"
Email,"exist, moment, difficult"
Email,"life, enter, billion"
SMS,yard
SMS,"color, over"
SMS,"to, bar, purpose, remain, watch"
SMS,administration
SMS,prove
Phone,"energy, beyond, interesting, realize"
Email,"PM, green"
Phone,"treat, life, or, cause, item"
SMS,"area, myself, suddenly, explain, better"
Phone,interest
SMS,"hot, other, drop, develop"
SMS,"learn, approach"
Email,"parent, owner, statement, rest"
Email,member
Phone,art
Email,"wish, forget, gas, almost"
Email,"represent, beyond, lawyer, performance"
Phone,"bad, go"
Email,"tree, remember, reduce"
Email,"total, research, television, expect"
Email,"short, least, safe, nature"
Phone,"beyond, lead, event, much"
SMS,"some, himself, rich, seem"
Phone,"organization, knowledge, stage"
Phone,will
SMS,"personal, animal, either, sit"
Phone,television
Email,"return, movie, value"
Email,"general, seven"
Email,"control, floor, social, throughout"
SMS,"third, want, control, clearly"
SMS,soldier
Email,"themselves, role, generation, floor"
Email,cultural
Phone,"bag, some"
Phone,"only, open"
Phone,"rich, record, skill, in"
Email,"maybe, per, test, quite"
Email,"floor, than, indeed, exactly"
Email,"term, strong, politics, want"
SMS,"tend, hit, again, floor"
Phone,"whatever, impact"
Email,"five, arrive, chair, model"
Phone,situation
SMS,car
Email,animal
Email,"herself, note, difference, hand, cause"
SMS,"thousand, say, agent, a"
SMS,"material, compare, modern, author, trouble"
Phone,"table, through, lot"
SMS,"ability, where"
Email,"court, stock"
SMS,"yard, establish, tree, drive"
Email,"again, stay, ahead, truth"
Email,"employee, degree, defense"
Email,"treatment, attorney, economy"
SMS,"page, one, whose, its"
Email,"PM, upon, money"
Email,"reason, agent"
Email,present
Phone,"Mr, home, purpose"
Phone,"personal, discuss, economy, director, themselves"
Phone,"south, hard"
SMS,as
Phone,"point, put, machine"
SMS,"rise, someone, book, decide"
SMS,"course, window, range, president, soldier"
Email,"sea, no, return, course"
Email,"business, short, clear"
Phone,"edge, piece, power, address, natural"
Email,"of, go, fund, stock, national"
Phone,"behind, conference, in, skill, over"
Phone,"management, top, ok"
SMS,"national, total, land, bring"
Phone,"understand, resource, in, attack, forward"
Email,"student, control, institution, save"
Phone,"plan, detail, training, medical, else"
SMS,"network, federal, talk"
SMS,"home, third"
SMS,"what, suddenly, wide, woman"
Email,experience
Phone,"thank, near"
SMS,"position, old, spend, which, feeling"
SMS,"agency, this, thank, strong, color"
Email,"stand, after"
Phone,"hair, lot, while, media, exactly"
Email,"tax, clear, easy, by, someone"
SMS,none
Phone,"benefit, different, evening"
Phone,"population, itself"
Email,"vote, team"
Phone,could
Email,"move, action, from, talk"
SMS,reflect
SMS,"around, teacher"
Phone,"lead, change, item, run"
SMS,time
SMS,"mouth, save, door"
SMS,"other, grow, peace, operation"
Phone,"last, same, people, set"
Email,"set, recognize, successful, civil"
Phone,face
Phone,"action, first, activity, would"
SMS,"in, serve, night"
Email,"set, they, occur, sign, hope"
Phone,"eat, middle, leader, eye"
SMS,successful
Phone,rate
Phone,"short, policy, civil"
Email,whatever
SMS,once
Email,"product, teach, book, center, finally"
SMS,"man, away, take, across, less"
Phone,"avoid, school"
Email,"design, discussion, thing, carry"
Email,"need, morning"
SMS,"fine, clearly, hour, likely, study"
SMS,"admit, today, measure, wall, that"
Email,"teacher, work"
SMS,"or, also"
Phone,"quickly, pull, cultural"
Email,hand
Phone,"out, appear, protect, always"
Email,"organization, section, himself"
Phone,"entire, production, hand"
Phone,"he, drive, thought, agreement"
Phone,"Mrs, feeling"
Phone,"fight, small, fire, treatment"
SMS,"company, center, beautiful"
SMS,"line, structure"
SMS,"not, whether, consider, doctor, choose"
SMS,"wall, pattern"
Phone,"personal, tree, much, protect, travel"
Email,"over, meet, find, music"
Email,"agree, so"
SMS,"so, pay, chair, either"
Email,"number, wall, expert"
Phone,fish
SMS,"media, project, else, ok"
SMS,"up, give, thought, play, there"
Email,"hear, rather, writer, less"
Email,"song, yourself"
Phone,"kind, last, upon, remember, thing"
SMS,"pressure, security, store, tonight, far"
SMS,"ability, subject, southern"
SMS,long
Phone,"next, may, program"
Phone,"same, property"
SMS,"growth, last, trip"
SMS,"system, collection"
Email,argue
Phone,"physical, smile, effort"
Phone,"peace, hospital, particularly, magazine"
Phone,"language, current, message"
Phone,"term, begin, majority, hair"
SMS,"important, test"
Email,"far, watch, adult"
SMS,"difference, movement"
Phone,"necessary, window, hotel, food, career"
Phone,"develop, entire, charge, star"
Phone,stand
Phone,"my, fly"
SMS,wind
Phone,"note, hard, new"
Phone,"daughter, back, again"
Phone,"keep, how"
SMS,"speak, wide, product"
Phone,"hot, fear, box, clearly, concern"
